iter	Passed	Remaining
0	0	827
1	1	781
2	2	820
3	3	830
4	4	922
5	5	872
6	5	841
7	6	811
8	7	784
9	7	765
10	8	746
11	8	724
12	9	712
13	9	698
14	10	689
15	11	680
16	11	669
17	12	659
18	12	651
19	13	643
20	13	638
21	14	632
22	14	627
23	15	620
24	15	616
25	16	622
26	17	632
27	18	636
28	19	640
29	19	643
30	20	640
31	21	635
32	21	631
33	22	627
34	22	623
35	23	620
36	23	617
37	24	615
38	24	612
39	25	609
40	25	605
41	26	604
42	27	601
43	27	599
44	28	596
45	28	595
46	29	593
47	29	591
48	30	590
49	31	589
50	31	589
51	32	593
52	33	598
53	34	599
54	35	602
55	35	601
56	36	598
57	36	596
58	37	595
59	37	594
60	38	591
61	39	590
62	39	588
63	40	586
64	40	585
65	41	583
66	41	581
67	42	578
68	42	579
69	43	578
70	44	577
71	44	576
72	45	575
73	46	575
74	46	575
75	47	579
76	48	582
77	49	584
78	50	586
79	50	586
80	51	585
81	52	585
82	52	581
83	53	580
84	53	579
85	54	579
86	55	579
87	55	579
88	56	579
89	57	579
90	58	579
91	58	579
92	59	579
93	60	578
94	60	577
95	61	577
96	62	579
97	63	584
98	64	588
99	65	591
100	66	592
101	67	593
102	68	595
103	69	597
104	70	598
105	71	599
106	71	600
107	72	600
108	73	601
109	74	602
110	75	603
111	76	606
112	77	609
113	78	612
114	79	615
115	80	615
116	81	613
117	82	614
118	83	614
119	83	614
120	84	613
121	85	612
122	86	614
123	87	614
124	87	614
125	88	614
126	89	614
127	90	615
128	91	617
129	92	619
130	93	621
131	94	623
132	95	624
133	96	625
134	97	626
135	98	627
136	99	627
137	100	627
138	101	628
139	102	628
140	103	628
141	103	626
142	104	626
143	105	628
144	107	634
145	109	638
146	111	644
147	111	643
148	112	643
149	113	644
150	114	644
151	115	644
152	116	644
153	117	643
154	117	643
155	118	642
156	119	641
157	121	648
158	123	650
159	123	650
160	124	649
161	125	649
162	126	650
163	128	654
164	129	655
165	130	654
166	131	654
167	132	654
168	132	653
169	133	653
170	134	652
171	135	653
172	136	654
173	137	654
174	139	655
175	139	655
176	140	655
177	141	653
178	142	652
179	143	651
180	143	650
181	144	650
182	145	648
183	145	647
184	146	646
185	147	644
186	147	642
187	148	640
188	148	638
189	149	637
190	150	636
191	151	636
192	151	635
193	152	634
194	153	632
195	153	631
196	154	629
197	155	628
198	155	627
199	156	625
200	156	623
201	157	621
202	157	620
203	158	618
204	158	616
205	159	614
206	159	612
207	160	610
208	160	609
209	161	607
210	162	607
211	162	605
212	163	604
213	164	603
214	164	601
215	165	601
216	166	600
217	166	598
218	167	597
219	168	596
220	168	594
221	169	592
222	169	592
223	170	590
224	171	589
225	171	587
226	172	586
227	172	584
228	173	583
229	173	581
230	174	580
231	174	578
232	175	576
233	175	575
234	176	573
235	176	572
236	177	570
237	177	569
238	178	567
239	178	565
240	179	564
241	180	564
242	180	563
243	182	564
244	182	563
245	183	562
246	184	561
247	184	560
248	185	559
249	186	558
250	186	556
251	187	555
252	187	554
253	188	552
254	188	551
255	189	549
256	189	548
257	190	547
258	190	545
259	191	544
260	191	542
261	192	541
262	192	540
263	193	538
264	193	537
265	194	536
266	194	534
267	195	534
268	196	534
269	197	533
270	198	532
271	198	531
272	199	530
273	199	529
274	200	528
275	200	526
276	201	525
277	201	524
278	202	522
279	202	521
280	203	520
281	203	519
282	204	517
283	204	516
284	205	515
285	205	513
286	206	512
287	206	511
288	207	509
289	207	508
290	208	507
291	208	506
292	209	505
293	209	503
294	210	502
295	211	502
296	212	502
297	212	501
298	213	501
299	214	500
300	215	499
301	215	498
302	216	497
303	216	495
304	217	494
305	217	493
306	218	492
307	218	491
308	219	489
309	219	488
310	220	487
311	220	486
312	221	485
313	221	484
314	222	483
315	222	481
316	223	480
317	223	479
318	224	478
319	224	477
320	225	476
321	225	475
322	226	475
323	228	475
324	228	475
325	229	474
326	229	473
327	230	471
328	230	470
329	231	469
330	231	468
331	232	467
332	232	466
333	233	465
334	233	464
335	234	463
336	234	461
337	235	460
338	235	459
339	236	458
340	236	457
341	237	456
342	237	455
343	238	454
344	238	453
345	239	452
346	239	450
347	240	449
348	240	448
349	241	448
350	242	447
351	242	447
352	243	446
353	244	445
354	244	444
355	245	443
356	245	442
357	246	441
358	246	440
359	247	439
360	247	438
361	248	437
362	248	436
363	249	435
364	249	434
365	250	433
366	250	432
367	251	431
368	251	430
369	252	429
370	252	428
371	253	427
372	253	426
373	254	425
374	254	424
375	255	423
376	256	423
377	256	422
378	257	421
379	258	421
380	259	420
381	259	420
382	260	419
383	260	418
384	261	417
385	262	416
386	262	415
387	263	415
388	263	414
389	264	413
390	264	412
391	265	411
392	265	410
393	266	409
394	266	408
395	267	408
396	268	407
397	268	406
398	269	405
399	269	404
400	270	403
401	270	402
402	271	402
403	272	401
404	273	401
405	274	400
406	274	400
407	275	399
408	275	398
409	276	397
410	276	396
411	277	395
412	277	394
413	278	393
414	278	393
415	279	392
416	279	391
417	280	390
418	280	389
419	281	388
420	281	387
421	282	386
422	282	385
423	283	384
424	283	383
425	284	382
426	284	381
427	285	381
428	285	380
429	286	379
430	287	379
431	287	378
432	288	377
433	289	378
434	290	377
435	291	376
436	291	375
437	292	374
438	292	374
439	293	373
440	293	372
441	294	371
442	294	370
443	295	369
444	295	368
445	296	368
446	296	367
447	297	366
448	297	365
449	298	364
450	298	363
451	299	362
452	299	361
453	300	361
454	300	360
455	301	359
456	301	358
457	302	358
458	303	357
459	304	357
460	305	356
461	305	356
462	306	355
463	307	354
464	307	354
465	308	353
466	308	352
467	309	351
468	309	350
469	310	350
470	311	349
471	311	348
472	312	347
473	312	347
474	313	346
475	313	345
476	314	344
477	314	343
478	315	343
479	316	342
480	316	341
481	317	341
482	318	340
483	319	340
484	320	339
485	321	339
486	321	338
487	322	338
488	322	337
489	323	336
490	324	335
491	324	335
492	325	334
493	325	333
494	326	332
495	326	331
496	327	331
497	327	330
498	328	329
499	328	328
500	329	327
501	329	326
502	330	326
503	330	325
504	331	324
505	331	323
506	332	323
507	333	323
508	334	322
509	334	321
510	335	320
511	335	320
512	336	319
513	337	318
514	337	317
515	338	317
516	338	316
517	339	315
518	339	314
519	340	313
520	340	313
521	341	312
522	341	311
523	341	310
524	342	309
525	342	309
526	343	308
527	343	307
528	344	306
529	344	305
530	345	305
531	346	304
532	346	303
533	347	303
534	348	303
535	349	302
536	350	301
537	350	301
538	351	300
539	351	299
540	352	299
541	352	298
542	353	297
543	354	296
544	354	295
545	355	295
546	355	294
547	356	293
548	356	292
549	357	292
550	357	291
551	358	290
552	358	289
553	359	289
554	359	288
555	360	287
556	360	287
557	361	286
558	362	286
559	363	285
560	364	285
561	365	284
562	365	283
563	366	283
564	366	282
565	367	281
566	368	281
567	368	280
568	369	279
569	370	279
570	370	278
571	371	278
572	372	277
573	372	276
574	373	275
575	373	275
576	374	274
577	375	273
578	375	273
579	376	272
580	376	271
581	377	271
582	378	270
583	379	270
584	379	269
585	380	268
586	380	267
587	381	267
588	382	266
589	382	265
590	383	265
591	383	264
592	384	263
593	384	262
594	385	262
595	385	261
596	386	260
597	386	259
598	387	259
599	387	258
600	388	257
601	388	256
602	389	256
603	389	255
604	390	254
605	390	253
606	391	253
607	391	252
608	392	251
609	393	251
610	393	250
611	394	250
612	395	249
613	395	248
614	396	247
615	396	247
616	397	246
617	397	245
618	398	245
619	398	244
620	399	243
621	399	243
622	400	242
623	400	241
624	401	240
625	401	240
626	402	239
627	402	238
628	403	237
629	403	237
630	404	236
631	404	235
632	405	235
633	405	234
634	406	233
635	406	232
636	407	232
637	408	231
638	409	231
639	409	230
640	410	229
641	410	229
642	411	228
643	411	227
644	412	227
645	412	226
646	413	225
647	413	224
648	414	224
649	414	223
650	415	222
651	415	222
652	416	221
653	416	220
654	417	219
655	417	219
656	418	218
657	418	217
658	419	216
659	419	216
660	420	215
661	420	214
662	421	214
663	422	213
664	423	213
665	423	212
666	424	211
667	425	211
668	425	210
669	426	209
670	426	209
671	427	208
672	427	207
673	428	207
674	428	206
675	429	205
676	430	205
677	430	204
678	431	203
679	431	203
680	432	202
681	432	201
682	433	200
683	433	200
684	434	199
685	434	198
686	435	198
687	435	197
688	436	196
689	436	196
690	437	195
691	437	194
692	438	194
693	439	193
694	439	193
695	440	192
696	441	191
697	441	191
698	442	190
699	442	189
700	443	189
701	443	188
702	444	187
703	444	187
704	445	186
705	445	185
706	446	184
707	446	184
708	447	183
709	447	182
710	448	182
711	448	181
712	449	180
713	449	180
714	450	179
715	450	178
716	451	178
717	451	177
718	452	176
719	452	176
720	453	175
721	454	174
722	455	174
723	455	173
724	456	173
725	456	172
726	457	171
727	457	171
728	458	170
729	458	169
730	459	169
731	459	168
732	460	167
733	460	166
734	461	166
735	461	165
736	462	164
737	462	164
738	463	163
739	463	162
740	464	162
741	464	161
742	465	160
743	465	160
744	466	159
745	466	158
746	467	158
747	467	157
748	468	157
749	469	156
750	470	155
751	470	155
752	471	154
753	472	154
754	472	153
755	473	152
756	473	152
757	474	151
758	475	150
759	475	150
760	476	149
761	476	148
762	477	148
763	477	147
764	478	146
765	478	146
766	479	145
767	479	144
768	480	144
769	480	143
770	481	143
771	481	142
772	482	141
773	483	141
774	483	140
775	484	139
776	485	139
777	485	138
778	486	137
779	486	137
780	487	136
781	487	136
782	488	135
783	488	134
784	489	134
785	489	133
786	490	132
787	490	132
788	491	131
789	492	130
790	492	130
791	493	129
792	493	128
793	494	128
794	494	127
795	495	126
796	495	126
797	496	125
798	496	125
799	497	124
800	497	123
801	498	123
802	499	122
803	500	121
804	500	121
805	501	120
806	502	120
807	502	119
808	503	118
809	503	118
810	504	117
811	504	116
812	505	116
813	505	115
814	506	114
815	506	114
816	507	113
817	507	112
818	508	112
819	508	111
820	509	110
821	509	110
822	510	109
823	510	109
824	511	108
825	511	107
826	512	107
827	512	106
828	513	105
829	513	105
830	515	104
831	515	104
832	516	103
833	517	102
834	517	102
835	518	101
836	518	101
837	519	100
838	519	99
839	520	99
840	520	98
841	521	97
842	521	97
843	522	96
844	522	95
845	523	95
846	523	94
847	524	93
848	524	93
849	525	92
850	526	92
851	526	91
852	527	90
853	527	90
854	528	89
855	529	89
856	530	88
857	531	87
858	531	87
859	532	86
860	532	86
861	533	85
862	533	84
863	534	84
864	534	83
865	535	82
866	535	82
867	536	81
868	536	80
869	537	80
870	537	79
871	538	79
872	538	78
873	539	77
874	539	77
875	540	76
876	540	75
877	541	75
878	541	74
879	542	73
880	543	73
881	543	72
882	544	72
883	545	71
884	545	70
885	546	70
886	546	69
887	547	69
888	548	68
889	548	67
890	549	67
891	549	66
892	550	65
893	550	65
894	551	64
895	551	64
896	551	63
897	552	62
898	552	62
899	553	61
900	553	60
901	554	60
902	554	59
903	555	58
904	555	58
905	556	57
906	556	57
907	557	56
908	558	55
909	558	55
910	559	54
911	560	54
912	560	53
913	561	52
914	562	52
915	562	51
916	563	50
917	563	50
918	564	49
919	564	49
920	565	48
921	565	47
922	566	47
923	566	46
924	567	46
925	567	45
926	568	44
927	569	44
928	569	43
929	570	42
930	570	42
931	571	41
932	571	41
933	571	40
934	572	39
935	572	39
936	573	38
937	573	37
938	574	37
939	575	36
940	576	36
941	576	35
942	577	34
943	577	34
944	578	33
945	578	33
946	579	32
947	580	31
948	580	31
949	580	30
950	581	29
951	581	29
952	582	28
953	582	28
954	583	27
955	583	26
956	584	26
957	584	25
958	585	25
959	585	24
960	586	23
961	587	23
962	587	22
963	588	21
964	589	21
965	590	20
966	591	20
967	591	19
968	592	18
969	592	18
970	593	17
971	594	17
972	594	16
973	595	15
974	595	15
975	596	14
976	596	14
977	597	13
978	597	12
979	598	12
980	598	11
981	599	10
982	599	10
983	600	9
984	600	9
985	601	8
986	602	7
987	602	7
988	603	6
989	603	6
990	604	5
